bike_id,times_used,duration,miles
15271,4.0,2239.0,7.1523611111111105
17004,1.0,261.0,0.83375
17685,17.0,9613.0,30.708194444444445
18251,16.0,14581.0,46.57819444444445
18535,5.0,2188.0,6.989444444444445
20046,5.0,1418.0,4.529722222222222
21562,4.0,1889.0,6.034305555555555
25066,56.0,132076.0,421.90944444444443
25330,21.0,27595.0,88.15069444444445
26151,76.0,85617.0,273.49875000000014
26152,16.0,13803.0,44.09291666666667
26153,11.0,10279.0,32.83569444444445
26155,73.0,101015.0,322.68680555555557
26157,63.0,40383.0,129.00125000000003
26158,75.0,50494.0,161.30027777777772
26159,56.0,33590.0,107.30138888888885
26160,75.0,42489.0,135.72875000000002
26161,82.0,40904.0,130.66555555555556
26162,1.0,680.0,2.172222222222222
26163,58.0,31442.0,100.43972222222222
26164,62.0,36584.0,116.86555555555555
26166,83.0,35021.0,111.87263888888893
26167,79.0,45328.0,144.79777777777772
26168,31.0,17853.0,57.03041666666667
26169,23.0,15798.0,50.46583333333335
26170,66.0,40275.0,128.65625
26171,41.0,22205.0,70.93263888888889
26172,36.0,15405.0,49.21041666666668
26173,20.0,19714.0,62.97527777777778
26174,62.0,27311.0,87.24347222222218
26175,78.0,61596.0,196.76500000000004
26177,43.0,24839.0,79.34680555555556
26178,61.0,25844.0,82.55722222222225
26179,57.0,59204.0,189.1238888888889
26182,73.0,43366.0,138.53027777777777
26183,79.0,46819.0,149.5606944444445
26184,23.0,11501.0,36.73930555555555
26185,9.0,4702.0,15.020277777777778
26186,54.0,40746.0,130.16083333333333
26187,38.0,18694.0,59.71694444444445
26188,37.0,17256.0,55.12333333333333
26189,69.0,34835.0,111.27847222222222
26190,47.0,28002.0,89.45083333333332
26191,48.0,26775.0,85.53125
26192,85.0,44095.0,140.85902777777775
26193,52.0,30088.0,96.11444444444444
26194,70.0,35060.0,111.99722222222222
26195,62.0,30860.0,98.58055555555556
26196,55.0,20259.0,64.71624999999999
26197,70.0,102644.0,327.89055555555564
26198,12.0,4002.0,12.78416666666667
26199,96.0,50484.0,161.26833333333335
26200,69.0,34911.0,111.52125000000001
26201,60.0,28739.0,91.80513888888889
26203,80.0,56373.0,180.08041666666665
26204,69.0,36761.0,117.43097222222221
26205,55.0,29705.0,94.89097222222223
26206,56.0,93616.0,299.0511111111111
26207,77.0,39097.0,124.89319444444443
26208,76.0,53313.0,170.30541666666662
26209,58.0,29972.0,95.74388888888889
26210,49.0,960754.0,3069.075277777779
